file,latency
run0005_1000.txt,76.601948
run0005_100.txt,100.074601
run0005_10.txt,155.148329
run0005_250.txt,36.413392
run0005_500.txt,39.043430
run0005_50.txt,192.414506
run0010_1000.txt,57.947289
run0010_100.txt,192.604843
run0010_10.txt,192.778359
run0010_250.txt,188.409828
run0010_500.txt,74.177211
run0010_50.txt,210.794790
run0025_1000.txt,115.288553
run0025_100.txt,302.173470
run0025_10.txt,365.916690
run0025_250.txt,296.660295
run0025_500.txt,206.730330
run0025_50.txt,381.783773
run0050_1000.txt,257.212542
run0050_100.txt,539.172572
run0050_10.txt,462.275871
run0050_250.txt,375.744526
run0050_500.txt,405.281283
run0050_50.txt,461.461017
run0100_1000.txt,493.198713
run0100_100.txt,699.241239
run0100_10.txt,763.954501
run0100_250.txt,698.386938
run0100_500.txt,646.632098
run0100_50.txt,756.210769
run0200_1000.txt,844.332897
run0200_100.txt,1195.023078
run0200_10.txt,1111.104171
run0200_250.txt,1024.742215
run0200_500.txt,979.536370
run0200_50.txt,1003.698074
run0500_1000.txt,1415.361988
run0500_100.txt,1817.031298
run0500_250.txt,1663.514973
run0500_500.txt,1626.070182
run1000_1000.txt,2282.304079
run1000_100.txt,2429.932156
run1000_250.txt,2394.791929
run1000_500.txt,2401.725073
